"id";"review";"polarity";"aspect";"start_position";"end_position"
19;"Hospedei-me em novembro/2012. Gostei muito e sempre que voltar a Paris por lá me hospedarei. EXCELENTE localização, hotel limpo, silencioso, funcionários atenciosos, amáveis, quarto confortável, água sempre quente no banho. O preço - tratando-se de Paris - é muito bom. Recomendo e voltarei a abrigar-me neste hotel na minha próxima ida a Paris, que espero que seja em breve.";1;"preço";226;231
20;"Fiquei num quarto quádruplo, somente para dormir e no outro dia pela manhã ir para o Aeroporto. As instalações do quarto eram um pouco antigas, a roupa de cama (edredon) tinha aspecto de suja. O chuveiro era bastante velho, demorou para conseguir achar o ponto em que ele esquentasse. Quanto ao café da manhã, não deu para usufruir pois começava a ser servido somente às 7h e precisamos sair 6h.";0;"aeroporto";85;94
21;"Muito simples, apartamentos pequenos, e parecem ter sido decorados por São Francisco pessoalmente, 1 cama, 1 cadeira, 1 mesa, 1 frigo bar, e 1 armário (sem portas, que funciona mesmo como cabideiro). Para piorar as coisas, os 2 únicos elevadores do hotel estavam quebrados e não havia outra escolha, se não usar as escadas. O prédio tem 14 andares. No café da manhã, o bufê é também franciscano (pobre de opções), mas dá pro gasto se você vai ficar uma ou duas noites no hotel.";0;"hotel";249;254
22;"Um quarto simples, porém limpo. A única crítica real é quanto ao chuveiro, muito colado a parede, pelo menos no quarto em q eu fiquei (516), era complicado tomar banho dessa forma.    Uma sugestão, notei a presença de vários brasileiros no hotel enquanto fiquei hospedado e quero sugerir um canal de televisão em português, a Globo Internacional. Seria muito bom e um atrativo a mais para vocês.";0;"televisão";300;309
23;"O quarto executivo com cama king e muito confortavel, limpo, e apesar do carpete, nao ha cheiro algum de mofo. A reserva foi feita pelo hoteis.com e o check in super rapido. A calefacao nao possui controle individual, mas estava adequada. Localizacao boa, da pra ir andando a restaurantes, teatro, metro... Nao ha talheres no quarto apesar do microondas e cafeteira.. Voltaria com certeza. Recomendo!";1;"teatro";290;296
24;"Passamos 9 dias no hotel e não temos muito do que reclamar. A mobília do quarto precisa ser trocada, pois está um pouco gasta. O banheiro é grande e limpo, só deveria haver um box ou algo que impedisse a água do chuveiro de se espalhar. A localização é ótima, do lado da Times Square e perto de diversas estações de metrô. Ótimo custo-benefício em se tratando de NY.";1;"hotel";19;24
25;"Estive por 12 dias nesse hotel. Quarto pequeno com banheiro grande para os padroes de paris. Staff amigavel, principalmente o Sr. Otavio. Localizacao muito boa, bem central com metro praticamente na esquina. Achei o quarto bem sujinho e durante os 12 dias que estivemos hospedados nao trocaram nossos lençois. Achei isso horrivel!";-1;"quarto";32;38
26;"Gostei muito deste hotel pela localização, no coração de Nova York, na Times Square, próximo de vários restaurantes, lojas,teatros, metrô e etc...  Excelente para se hospedar com a família porque nos quartos há uma cozinha com geladeira, microondas e cafeteira.  A internet no quarto nos atendeu muito bem.";1;"cozinha";215;222
27;"O melhor pelo custoxbenefício.. o quarto era pequeno, mas pela localização é o melhor que poderíamos encontrar, o Sr. da recepção era muito atencioso e se esforçava em se comunicar conosco, pois como marinheiros de primeira viagem estávamos deslocados no início de nossa estadia, porém nos ajudou com algumas dicas. O café da manhã do hotel era essencial, a cama era excelente... em suma, conseguimos em ultima hora a melhor localização...";1;"café da manhã";318;331
28;"Perto de tudo,com pizzaria na frente q da para comprar e levar comer no quarto a Sbarro,21 dolares a grande...não tem frigobar e internet é paga se quiser no quarto.Tem metro super perto a uma quadra,e tudo muito facil.....Gasta se do aeroporto de La guardia $45 dolares de taxi...e ate o JFK gastamos 58 .....Mais quarto confortavel,ficamos no 40 andar .";0;"aeroporto";235;244
29;"Estive em janeiro 2013, este hotel e para quem quer (BBB) bom, bonito e barato este é o lugar, localização excelente x preço muito bom, com um bom café da manhã (leite- sucos - pães - frutas - Yorgutes - etc.) mas eu sinceramente achei um pouco apertado, mas se acordar cedo, é mais tranquilo, boa cama, ele tem um closet separada com porta que é muito bom, pois o quarto fica organizado, banheiro tamanho bom.  Room Tip: Eu fiquei no quarto 905 muito bom??????";1;"quarto";365;371
30;"Ficamos no quarto com beliche, com banheiro compartilhado e gostamos bastante. O preço é competitivo pela ótima localização. Os ambientes são modernos e novos.  Existe um sistema que mostra qual banheiro está disponível, existem 4 banheiros por andar, nunca precisamos ficar esperando para utilizar. Os banheiros são ótimos, bem melhores que muitos hotéis que ficamos com suíte, o chuveiro é magnifico.  O atendimento poderia ser melhor.";1;"preço";81;86
31;"Me hospedei nesse hotel em março de 2012, pegamos um quarto com vista para as Fontes do Bellagio que foi excelente. Quarto limpo, vista perfeita.   Pontos negativos: quase nenhum hotel da strip oferece quarto com frigobar e a decoraçao do nosso quarto tinha fotos da whoopi goldberg no papel do filme mudança de hábito, ou seja, roupas de freira e terços espalhados pelo quarto. creepy!";-1;"frigobar";213;221
32;"Ficamos no Ibis Place dItalie em agosto/2011. O quarto é tudo de bom, banheiro todo branquinho, super limpo. Hotel super organizado. Café da manha 7 euros - pães, presunto, queijo, iogurtes, 3 tipos de sucos naturais, quiche de queijo e o melhor de tudo creppe com nuttela. Era um prazer ir tomar o café da manhã.  O Hotel fica muito pertissimo de uma estaçao de metro.";1;"quarto";48;54
33;"The Benjamim hotel possui bom atendimento, quarto bem decorado e de tamanho satisfatório . O bar do hotel e excelente, e por si só ja e uma boa opção de entretenimento. Nas proximidades podes encontrar boas opções para café da manha, ja que optamos por estadia sem café , pois este não esta incluso na diária. Uma ótima mini cozinha. Recomendo! Não utilizei nem Spa e nem piscina, mas não consegui desmarcar na avaliação abaixo.";1;"atendimento";30;41
34;"O quarto basico , nao é melhor que um MGM ou Paris , portanto so vale a pena pegar se for o mesmo preço que esse citados (nao pague a mais )...pois é antigo , andar baixo e virado para os fundos com vista para nada .  Nao cobra resort fee (20 usd/dia) , cafe foi dado credito de 18 Usd por dia para usar na praça de alimentação deles ... e a localização e o shoping são uns dos melhores .";1;"localização";342;353
35;"O quarto era pequeno e não tinha TV por assinatura. A roupa de cama também não era nova.O café da manhã era bom, com frutas, iogurte, granola e outras coisas mais.A vantagem em ficar no hotel foi que não pagamos pelo transfer entre Hotel e Aeroporto.";0;"aeroporto";240;249
36;"Achei que os hoteis IBIS mantivessem um mesmo padrão mas não foi o que vi no neste hotel. As toalhas de banho parecem pano de chão, não há tolha de rosto, não há secador. O serviço do hotel/atendimento é ruim. Solicitamos o serviço despertador pois o vôo de volta ao Brasil era muito cedo mas não adiantou pois o recepcionista esqueceu!! O elevador quebra com frequência. Já ficamos em outro hotel IBIS próximo a região da Galeria Lafayete e foi muito diferente!";-1;"elevador";340;348
37;"Não tem o que falar do Venetian! O hotel é lindo, os quartos são grandes e luxuosos, a piscina tem muito espaço e bom atendimento!  Como é um hotel mega grande, achei que fosse achar um pouco de desorganização, mas não! Para chegar nos quartos é super fácil e tudo é de fácil acesso!  Hotel maravilhoso!";1;"quarto";53;59
38;"Só tenho coisas boas para falar do hotel. OTIMA localização. limpeza maravilhosa. funcionários amáveis.  trabalho na CVC e com ctz será um hotel que passarei a indicar sempre!   tudo que precisei me ajudaram. sempre dando informações valiosas, explicando com educação.  no ano que vem quando voltar não tenho duvidas que ficarei nesse hotel!  obrigado mais uma vez a equipe do Affinia";1;"hotel";35;40
39;"O hotel é simples, mas o quarto e as camas são grandes. Tudo muito limpinho e bem arrumado. O café da manhã é simplérrimo, dois tipos de pão, leite e café (mas é um dos poucos hotéis de preço mais barato em NY que oferece esse desjejum). Gostei também da localização! Enfim, recomendo para quem procura um hotel com um bom custo-benefício!";-1;"café da manhã";94;107
40;"Pertinho do metro, com um breakfast impecável, com produtos de qualidade e saborosos. O quarto terrivelmente pequeno e desajeitado, difícil para se tomar banho devido ao tamanho. Ótima recepção. O custo-benefício compensou, dentro dos padrões da hotelaria parisiense. Recomendo!  Room Tip: Atente-se para a metragem do ap, procure um com tamanho razoável.";1;"custo-benefício";197;212
41;"Um hotel pequeno com quartos aconchegantes e confortáveis, wi-fi grátis e ótima localização. Dá pra ir a pé aos pontos turísticos mais badalados ou se locomover de metrô, trem ou ônibus para qualquer canto da cidade e região facilmente para quem vai a trabalho. Sem contar que eles oferecem early check-in com a maior tranquilidade.  Room Tip: As suítes com janelas para a frente do hotel mostram uma praça arborizada de um edificio comercial b...";1;"localização";80;91
42;"Hotel relativamente perto do Menino Deus (bairro do Shopping Praia de Belas). Quarto bem grande, limpo, mas sem luxo. Colchão bem ruim (muito murcho) e travesseiros ruins também. Banheiro razoável, pois o chuveiro é bem mais ou menos. Café da manhã farto e bem gostoso em alguns dias e em outros, nem tanto. Custo-benefício bacana dependendo de onde você irá frequentar, pois precisará de táxi para se deslocar. Mas, atendentes muito solícitos e educados. GOSTEI!";0;"shopping";52;60
43;"Gostamos da região então a escolha foi perfeita! O hotel atendeu a nossa expectativa, custo benefício, a localização e os arredores do hotel. Os funcionários do Restaurante e do bar foram muito atenciosos. A única coisa que sugerimos é evitar que o hóspede que chega cansado descubra na porta do quarto que sua chave não abre e aí tem que voltar à portaria para ajustar o cartão...";1;"quarto";296;302
44;"Hotel com ótima localização. Ficamos em quarto especial no 21º andar. Vista cinematográfica do Central Park e muito amplo. Talvez o conjunto do hotel necessitasse de uma reforma para se adequar a modernidade. Serviço simpático. Acesso a Internet só no quarto e pago. Sem café da manhã que em NYC é uma boa opção pois há bons restaurantes com ótimos breakfasts em todas as quadras.";-1;"internet";237;245
45;"O quarto era antigo, apesar de ter um bom tamanho. Tinha um cheiro estranho. Banheiro espaçoso, porém um pouco velho. Não tinha chuveiro, mas uma banheira com uma ducha de mão. A limpeza não era boa. Não comprei o café da manhã, então não posso opinar sobre. A localização é boa, bem próximo ao metrô. Bem em frente ao hotel tem um restaurante libanês (Assanabel) ótimo.";0;"hotel";319;324
46;"O Hotel e perto de tudo. Localização em NY é essecial. O quarto e pequeno mas e muito bom, limpo e silencioso. Como tem muitos brasileiros que se hospedam neste hotel, há alguns atendentes que falam um pouco de portugues.  Room Tip: Peça um quarto distante da maquina de refrigerante porque tem pessoas que pegam bebidas a noite toda...";1;"quarto";57;63
47;"Excelente recepção.Quarto grande, bem decorado e higienizado.Um bom atendimento, funcionarios educados e prestativos.Muito bem localizado, perto de varios pontos turisticos, como o Museo do Louvre, bons restaurantes, perto da av.Champs Elysées, etc.Gostei de tudo, atendimento, serviço de quarto, café da manha.A unica coisa que deixou a desejar foi o atendimento no restaurante.";1;"quarto";19;25
48;"Ficamos hospedamos 4 dias, o hotel é muito bem conservado, possui uma excelente localização, preço muito bom, amplo estacionamento, quarto super amplo e cama confortável. Falta uma reforma nas piscinas, mas mesmo assim são bem agradáveis. O único ponto a desejar foi no primeiro dia que o quarto estava apenas com uma agua e aberta. Recomendado!";1;"cama";153;157
49;"O Mayfair Paris Hotel é um ótimo hotel. A localização é ótima, ao lado da Rue de Rivoli, com fácil acesso ao metro ou taxis. A uma quadra do hotel, está a Rue du Faubourg Saint-Honore, uma das ruas mais chiques de Paris.   O hotel é pequeno, mas muito bem conservado. Nosso quarto era de um tamanho considerável, com espaço para 3 malas abertas. A cama excelente e o banheiro ótimo também, muito amplo e limpo.  Todos funcionários muito cordiais e simpáticos.  Enfim, recomendo este hotel.";1;"rua";193;196
50;"Excelente localização, confortável com staff formado por funcionários educadíssimos e atenciosos. A única funcionária menos simpática foi exatamente uma brasileira com o nome de Marília. Em um primeiro momento nos pareceu um tanto o quanto arrogante, melhorando de humor a partir do terceiro dia de estada.  Room Tip: Todos os apartamentos são bons";1;"funcionários";57;69
51;"Quarto pequeno (normal em Paris), mas maior do que eu esperava. Cama e ducha excelentes, o que é extremamente importante para quem passa o dia inteiro andando pela cidade. Banheiro novo. Pessoal simpático. Excesso de cor laranja no quarto, mas isso é irrelevante. Recomendo para quem quer dormir bem e gastar pouco.";1;"cama";64;68
52;"Estive no hotel em maio de 2012. O quarto, apesar de pequeno, era limpo e confortável, com ressalva apenas para o chuveiro, pois era impossível regular o aquecimento da água. Bom atendimento. Permitiram, inclusive, que eu fizesse check in antes do horário, sem custo adicional. Informações úteis na recepção. Boa localização, próximo a Macys e ao Empire State Buiding e a 15 minutos de caminhada da Times Square. Recomendo.";1;"atendimento";179;190
53;"Passei alguns dias no The Jewel  e indico para qualquer pessoa esse hotel. Localização ótima, serviço impecável. Sempre que chegávamos da rua o quarto estava com um cheirinho de limpeza super agradável. Funcionários extremamentes simpáticos e dispostos a ajudar. Quarto de bom tamanho e chuveiro sem ser estilo americano ( sem aquelas banheiras). De longe o melhor hotel que já fiquei.";1;"serviço";94;101
54;"Ótimo hotel, localização privilegiada, o bairro de Upper East Side, é ideal para quem quer curtir a agitação da cidade e mesmo assim ficar em um local tranquilo. As instalações do hotel são muito boas, os quartos limpos e bem cuidados, tudo de primeira. A recepção é impecável, todos sempre solícitos, e prontos para ajudar. Nem mesmo o fato do hotel aceitar animais desabona algo é tudo muito organizado. Recomendo 100% este hotel, tanto para famílias quanto para grupos de amigos.";1;"quarto";205;211
55;"O hotel é simples, mas a localização é perfeita, em pleno Quartier Latin, pertinho da Sorbonne e do Panteão. O atendimento dos funcionários também nos agradou muito. Sobre os quartos do hotel não poderei opinar, já que, chegando lá, nos foi oferecida a opção de ficar em um apto em frente ao hotel, o que ótimos. Economizamos muito com alimentação, pois perto do hotel tem um supermercado ótimo: o Monoprix.";1;"localização";25;36
56;"Atendimento muito simpático na recepção e por todos os funcionários. Nos sentimos muito bem recebidos.  É bem localizado (perto de duas estações de metrô).   O quarto era pequeno, mas era bom (muito limpo e confortável). Ótimo chuveiro (apesar de pequeno).    Eles disponibilizam um notebook para acesso a internet no salão de entrada.    Ótimo café da manhã!";1;"café da manhã";345;358
57;"Me hospedei pela segunda vez neste hotel em 2011. O serviço e atendimento continuam excelentes. A localização eh perfeita: próxima a bares, restaurantes e metro. Apesar de nao muito grandes, os quartos e banheiros são modernos, bonitos e bem decorados. Em 2012 viajarei para a Escandinavia com uma parada em Paris, ao final da viagem. Me hospedarei no Cadran uma terceira vez com certeza. Recomendo.";1;"atendimento";62;73
58;"Ficamos hospedados por 3 noites com nossos filhos (07 e 02 anos), do dia 13.12.12 a 16.12.12. Hotel de ótima localização, perto de tudo, quartos limpos e organizados, café da manhã de boa qualidade e funcionários muito atenciosos. Metrô ao lado e uma farmácia (Duane Reade) na esquina aberta 24hs, que vende quase de tudo. Para viagem com crianças este hotel é ótima opção.  Room Tip: Ficamos no 29 andar, não há barulho e também não tivemos problemas com os elevadores que funcionavam...";1;"elevador";459;467
59;"Nada a reclamar. Quarto amplo, limpo e bem equipado. Pedi um andar alto e fui atendido. Possuem wifi gratuita e são disponibilizados computadores no lobby do hotel. A equipe é um pouco impessoal, mas bem solícita e educada. O hotel recebeu e armazenou várias compras que fiz no Amazon e não cobrou qualquer taxa. A localização também é excelente, próximo à Times Square.";1;"hotel";158;163
60;"Atendimento muito simpático na recepção e por todos os funcionários. Nos sentimos muito bem recebidos.  É bem localizado (perto de duas estações de metrô).   O quarto era pequeno, mas era bom (muito limpo e confortável). Ótimo chuveiro (apesar de pequeno).    Eles disponibilizam um notebook para acesso a internet no salão de entrada.    Ótimo café da manhã!";1;"quarto";160;166
61;"Pela localização que eu precisava, para pegar um TGV para Marselhe, perfeito, o quarto que podia ser um pouco maior, mas passa, e tenho que fazer um comentário a respeito de um funcionário, sr João Batista, execelente funcionário muito prestativo, pois mesmo sem falar portugues e espanhol me orientou a respeito do serviço de guarda de bagagens, que funciona muito bem também.";1;"localização";5;16
62;"Muito bom. Bem localizado, perto de tudo. Ótimo atendimento. Não precisei ligar o aquecedor. Mesmo com 0 graus o quarto era quente. O quarto é pequeno, mas só utilizávamos ele pra dormir mesmo. O funcionário Mourad foi excelente e simpático nos ajudando a encontrar os lugares, a transportar as malas e a encontrar um transporte de volta para o aeroporto.";1;"atendimento";48;59
63;"O hotel é bom, limpo, com serviço bacana , internet grátis, mas a localização não é muito boa. No entanto, ele está de frente para a estação de metrô Quai de la Gare e a poucos metros de um mercadinho e de uma padaria, onde se pode tomar café da manhã (o do hotel é pago e achei caro para o que se tinha).  O quarto é bom, banheiro um pouco apertado, mas tudo bem limpo e organizado. A equipe do hotel foi solícita e atenciosa. Recomendo.";1;"internet";43;51
64;"Excelente localização, confortável com staff formado por funcionários educadíssimos e atenciosos. A única funcionária menos simpática foi exatamente uma brasileira com o nome de Marília. Em um primeiro momento nos pareceu um tanto o quanto arrogante, melhorando de humor a partir do terceiro dia de estada.  Room Tip: Todos os apartamentos são bons";1;"apartamento";327;338
65;"Hotel novo, boa localização, atendimento ágil e cortês. Há 5 minutos do Shopping Total.Ponto negativo: o room-service estava fechado. Fomos atendidos pela nutricionista que foi bem atenciosa e rápida.Recomendamos.";1;"hotel";0;5
66;"O hotel fica ao lado da Korea Town, uma rua bem tranqüila com uma praça em frente e a Macys do outro lado, na rua 33 existe uma delegacia de policia o que torna a região bem segura mesmo a noite. A saída do metro é praticamente na porta do hotel (uns 10 metros da entrada). Existem vários locais para tomar Café ao lado do Hotel. Está a uma estação do Times Square e uma rua do Empire State. Quartos amplos e confortáveis.";0;"hotel";2;7
67;"Estive a Paris no mês de outubro, e uma cidade magnifica, com um nivel cultural excelente. Fiquei ospedada a um pequeno hotel muito bem localizado ao lado do museu do louvre, museu de orsay, notre dame....com um preço acessivel e uma boa recepçao .o café da manha e servido em uma agradavel sala e assim também e possivel conhecer gente de varias nacionalidades!!!";1;"cidade";40;46
68;"Muito bom hotel, perto da estação de metro St Lazare, fica localizado perto das principais atrações de Paris para quem gosta de ir caminhando. O café da manhã é bom (pago) e internet bem rápida. O quarto é bem limpo e tem frigobar, janelas que abrem e banheiro limpo e novo. O atendimento sempre foi prestativo mesmo eu não falando francês e inglês. A única coisa é que poderiam colocar pelo menos um atendente que fale espanhol.";1;"atendimento";277;288
69;"Muito satisfeita com minha escolha de hospedagem no Hotel Aria.   É um hotel mais moderno e contemporâneo, se comparado ao Hotel Wynn por exemplo, que possui arquitetura mais clássica.   Ótima localização, ótimo quarto.   O restaurante do hotel para almoco e café da manha é um espetáculo, e o preço super viável.   Você ainda pode desfrutar das piscinas com dj , estilo louge, Liquid Pool ,que o hotel ofere,super animado com muitos jovens.  . Recomendadísimo.";1;"localização";193;204
70;"Eu e minha esposa estamos muitos satisfeitos com o Hotel Chandler por diversos motivos: Ótima localização, próximo ao Empire State e Broadway; atenção de todos funcionários, sem distinção, em todo o período; quarto muito aconchegante, com chuveiro excelente e itens de conforto de qualidade; limpeza e arrumação dos quartos; custo-benefício insuperável. Ou seja, na nossa próxima viagem a NY, não temos dúvida da nossa escolha de estadia!";1;"funcionários";160;172
71;"Padrão Ibis sem maiores surpresas. Boa recepção e acomodação, ficamos no sexto andar com boa acomodação sem surpresa, nossos filhos ficaram no 1o. andar que na verdade seria um subsolo ou -1 onde o teto é baixo dando uma impressão quase claustrofobica. Prefira ficar do 2o. andar para cima. Boa localização, perto de metro e rua tranquila. Vale a pena.";1;"recepção";39;47
72;"Hotel muito bem localizado com apartamento espaçoso e confortável para 3 adultos.  atendimento cordial e o serviço de quarto com arrumaçao e limpeza adequados.  nos finais de semana, à partir da quinta feira, há o inconveniente das baladas promovidas pelo hotel, atraindo pessoas pouco educadas que provocam muito barulho e confusão no lobby do hotel, além de congestionamento e filas nos elevadores.";1;"hotel";0;5
73;"Hotel luxuoso com ótima estrutura. Recepção e lobby vultuosos. Funcionários educados e prestativos. Quarto amplo, cama king ótima e banheiro bom e limpo! Chuveiro ótimo! Linda vista da cidade! Piscina e quadra de tênis no alto do prédio. Localização é o único ponto negativo, pois fica a 1,7 km da Times Square (à pé) e o metrô mais perto fica linge, + ou - 800 mts.";1;"quarto";100;106
74;"Quartos amplos e super limpos, pessoal muito amigável, Cassino gostoso com dealers simpáticos e engraçados.  Indico para todos que procuram uma tarifa justa e conforto.  Pode-se ir à pé até a Strip tranquilamente.  Room Tip: se ficar no apartamento de cima se poupará do barulho que seus vizinhos farão estando embaixo...";1;"cassino";55;62
75;"Amei minha estaida neste Hilton! O unico ponto negativo é o preço alto, mesmo com promoções fica um pouco apertado para o orçamento. Além disso, quase nada é incluído na diária, nao internet wi-fi cortesia, nem café da manha, nem estacionamento. tudo pago á parte.  Mas o hotel é lindo, limpo, os quartos sao grandes, as camas confortaveis. A localização é perfeita, a uma quadra da times square.";-1;"internet";182;190
76;"É um hotel pequeno, organizado, agradável e muito limpo. A equipe do hotel é gentil, educada e calorosa. Quanto à localização, o bairro dispõe de transporte, supermercados, restaurantes e laundromats. o café da manhã é simples mas muito gostoso, com pães de primeira linha. Não tenho nada a reclamar, fomos muito bem atendidas.";1;"café da manhã";203;216
